"Params","coefs","2.5 %","97.5 %"
"ar.1","0.772","0.555","1.073"
"ar.log(pop)","0.988","0.947","1.03"
"ar.HDI_cat","0.985","0.905","1.072"
"ar.LL","0.778","0.679","0.89"
"ar.sindex_lag","1.053","1.018","1.089"
"ar.testing_lag","0.923","0.861","0.989"
"ar.rain_mean_lag","0.997","0.938","1.059"
"ar.temp_mean_lag","1.043","0.984","1.105"
"ar.sh_mean_lag","0.992","0.928","1.061"
"ne.1","0.025","0.014","0.046"
"ne.log(pop)","1.657","1.501","1.829"
"ne.HDI_cat","1.722","1.459","2.032"
"ne.LL","1.348","1.079","1.684"
"ne.sindex_lag","1.1","1.044","1.16"
"ne.testing_lag","2.918","2.498","3.409"
"end.1","28.132","19.564","40.452"
"neweights.d","0.722","0.437","1.007"
"overdisp","1.947","1.868","2.027"
"","","",""
"AIC","48439.04","",""
"","","",""
"logs","rps","dss","ses"
"4.744","91.166","10.008","145239.393"
