"Params","coefs","2.5 %","97.5 %"
"ar.log(pop)","1.037","0.956","1.124"
"ar.HDI_cat","0.95","0.813","1.11"
"ar.LL","0.664","0.522","0.846"
"ar.sindex_lag","1.064","1.015","1.116"
"ar.testing_lag","0.809","0.721","0.909"
"ar.rain_mean_lag","1.026","0.958","1.098"
"ar.temp_mean_lag","1.068","0.984","1.16"
"ar.sh_mean_lag","0.879","0.802","0.963"
"ar.ri(iid)","0.994","0.567","1.744"
"ne.log(pop)","1.424","0.919","2.206"
"ne.HDI_cat","1.252","0.589","2.659"
"ne.LL","0.836","0.303","2.31"
"ne.sindex_lag","1.05","0.943","1.169"
"ne.testing_lag","2.329","1.681","3.226"
"ne.ri(iid)","0.043","0.004","0.473"
"end.1","11.115","7.174","17.22"
"neweights.d","2.181","1.515","2.847"
"overdisp","1.704","1.632","1.776"
"","","",""
"AIC",NA,"",""
"","","",""
"logs","rps","dss","ses"
"4.711","91.239","10.43","267430.195"
